rule,rule_name,pattern,distinct_actual_values,min,max,formula
g1,column-blind/PAB,RRR,27 33 39 57,27,57,"RRR(pdist,ds)"
g1,column-blind/PAB,SRR,162,162,162,162
g1,column-blind/PAB,RRS,0 27 54,0,54,9*fixoff
g1,column-blind/PAB,RSR,0 27 54,0,54,9*fixoff
g1,column-blind/PAB,DIST,0,0,0,0
g1,column-blind/PAB,Assoc,189 195 201 219 243 255 273 297 309,189,309,sum of pattern formulas
g2,transparent,RRR,27 33 39 57,27,57,"RRR(pdist,ds)"
g2,transparent,SRR,0 18 36 54,0,54,6*fix
g2,transparent,RRS,0 18 36 54,0,54,6*fix
g2,transparent,RSR,0 18 36 54,0,54,6*fix
g2,transparent,DIST,162,162,162,162
g2,transparent,Assoc,189 195 243 255 273 309 351,189,351,sum of pattern formulas
g3,su2-transparent,RRR,27 33 39 57,27,57,"RRR(pdist,ds)"
g3,su2-transparent,SRR,54,54,54,54
g3,su2-transparent,RRS,54 60 66 72,54,72,72-2*fix
g3,su2-transparent,RSR,54,54,54,54
g3,su2-transparent,DIST,54,54,54,54
g3,su2-transparent,Assoc,243 255 261 267 285,243,285,sum of pattern formulas
g4,echo,RRR,27 33 39 57,27,57,"RRR(pdist,ds)"
g4,echo,SRR,162,162,162,162
g4,echo,RRS,162,162,162,162
g4,echo,RSR,0 18 36 54,0,54,6*fix
g4,echo,DIST,162,162,162,162
g4,echo,Assoc,513 519 531 543 561 567,513,567,sum of pattern formulas
g5,self-referential,RRR,27 33 39 57,27,57,"RRR(pdist,ds)"
g5,self-referential,SRR,162,162,162,162
g5,self-referential,RRS,0 54,0,54,18*fixdiag
g5,self-referential,RSR,0 54,0,54,18*fixdiag
g5,self-referential,DIST,162,162,162,162
g5,self-referential,Assoc,351 357 363 381 459 471 489,351,489,sum of pattern formulas
g6,anti-complement,RRR,27 33 39 57,27,57,"RRR(pdist,ds)"
g6,anti-complement,SRR,0 18 36 54,0,54,6*fix
g6,anti-complement,RRS,0 18 36 54,0,54,6*fix
g6,anti-complement,RSR,54 63 72 81,54,81,81-3*fix
g6,anti-complement,DIST,54,54,54,54
g6,anti-complement,Assoc,162 168 189 201 219 228 243,162,243,sum of pattern formulas
