assoc_value,normalized_assoc,decimal_assoc,multiplicity_in_Omega_elem,is_minimum,is_maximum,is_multiple_of_3,is_multiple_of_27_anchor,anchor_multiplier,witness_rule,witness_diagonal,witness_pdist,witness_ds,witness_fix,witness_fixdiag,witness_fixoff,witness_RRR,witness_SRR,witness_RRS,witness_RSR,witness_DIST
162,162/729,0.222222222,2,1,0,1,1,6,g6,"(1,2,0)",3,0,0,0,0,27,0,0,81,54
168,168/729,0.230452675,6,0,0,1,0,,g6,"(1,0,0)",2,0,0,0,0,33,0,0,81,54
189,189/729,0.259259259,8,0,0,1,1,7,g1,"(0,2,1)",3,1,3,3,0,27,162,0,0,0
195,195/729,0.267489712,12,0,0,1,0,,g1,"(1,0,0)",2,0,0,0,0,33,162,0,0,0
201,201/729,0.275720165,8,0,0,1,0,,g1,"(0,0,1)",2,1,3,3,0,39,162,0,0,0
219,219/729,0.300411523,4,0,0,1,0,,g1,"(0,0,0)",1,1,3,3,0,57,162,0,0,0
228,228/729,0.312757202,6,0,0,1,0,,g6,"(0,0,2)",2,2,6,3,3,39,36,36,63,54
243,243/729,0.333333333,7,0,0,1,1,9,g1,"(1,0,2)",3,1,3,0,3,27,162,27,27,0
255,255/729,0.349794239,17,0,0,1,0,,g1,"(0,0,2)",2,2,6,3,3,39,162,27,27,0
261,261/729,0.358024691,8,0,0,1,0,,g3,"(0,0,2)",2,2,6,3,3,39,54,60,54,54
267,267/729,0.366255144,12,0,0,1,0,,g3,"(0,0,1)",2,1,3,3,0,39,54,66,54,54
273,273/729,0.374485597,5,0,0,1,0,,g1,"(1,1,1)",1,1,3,0,3,57,162,27,27,0
285,285/729,0.390946502,3,0,0,1,0,,g3,"(0,0,0)",1,1,3,3,0,57,54,66,54,54
297,297/729,0.407407407,1,0,0,1,1,11,g1,"(0,1,2)",3,3,9,3,6,27,162,54,54,0
309,309/729,0.423868313,8,0,0,1,0,,g1,"(1,1,2)",2,2,6,0,6,39,162,54,54,0
351,351/729,0.481481481,5,0,0,1,1,13,g2,"(0,1,2)",3,3,9,3,6,27,54,54,54,162
357,357/729,0.489711934,6,0,0,1,0,,g5,"(1,0,0)",2,0,0,0,0,33,162,0,0,162
363,363/729,0.497942387,6,0,0,1,0,,g5,"(1,1,0)",2,1,3,0,3,39,162,0,0,162
381,381/729,0.522633745,2,0,0,1,0,,g5,"(1,1,1)",1,1,3,0,3,57,162,0,0,162
459,459/729,0.629629630,2,0,0,1,1,17,g5,"(0,1,2)",3,3,9,3,6,27,162,54,54,162
471,471/729,0.646090535,6,0,0,1,0,,g5,"(0,0,1)",2,1,3,3,0,39,162,54,54,162
489,489/729,0.670781893,1,0,0,1,0,,g5,"(0,0,0)",1,1,3,3,0,57,162,54,54,162
513,513/729,0.703703704,2,0,0,1,1,19,g4,"(1,2,0)",3,0,0,0,0,27,162,162,0,162
519,519/729,0.711934156,6,0,0,1,0,,g4,"(1,0,0)",2,0,0,0,0,33,162,162,0,162
531,531/729,0.728395062,3,0,0,1,0,,g4,"(0,2,1)",3,1,3,3,0,27,162,162,18,162
543,543/729,0.744855967,6,0,0,1,0,,g4,"(0,0,1)",2,1,3,3,0,39,162,162,18,162
561,561/729,0.769547325,9,0,0,1,0,,g4,"(0,0,0)",1,1,3,3,0,57,162,162,18,162
567,567/729,0.777777778,1,0,1,1,1,21,g4,"(0,1,2)",3,3,9,3,6,27,162,162,54,162
