assoc_value,rule,diagonal,pdist,ds,fix,fixdiag,fixoff,RRR,SRR,RRS,RSR,DIST
162,g6,"(1,2,0)",3,0,0,0,0,27,0,0,81,54
168,g6,"(1,0,0)",2,0,0,0,0,33,0,0,81,54
189,g1,"(0,2,1)",3,1,3,3,0,27,162,0,0,0
195,g1,"(1,0,0)",2,0,0,0,0,33,162,0,0,0
201,g1,"(0,0,1)",2,1,3,3,0,39,162,0,0,0
219,g1,"(0,0,0)",1,1,3,3,0,57,162,0,0,0
228,g6,"(0,0,2)",2,2,6,3,3,39,36,36,63,54
243,g1,"(1,0,2)",3,1,3,0,3,27,162,27,27,0
255,g1,"(0,0,2)",2,2,6,3,3,39,162,27,27,0
261,g3,"(0,0,2)",2,2,6,3,3,39,54,60,54,54
267,g3,"(0,0,1)",2,1,3,3,0,39,54,66,54,54
273,g1,"(1,1,1)",1,1,3,0,3,57,162,27,27,0
285,g3,"(0,0,0)",1,1,3,3,0,57,54,66,54,54
297,g1,"(0,1,2)",3,3,9,3,6,27,162,54,54,0
309,g1,"(1,1,2)",2,2,6,0,6,39,162,54,54,0
351,g2,"(0,1,2)",3,3,9,3,6,27,54,54,54,162
357,g5,"(1,0,0)",2,0,0,0,0,33,162,0,0,162
363,g5,"(1,1,0)",2,1,3,0,3,39,162,0,0,162
381,g5,"(1,1,1)",1,1,3,0,3,57,162,0,0,162
459,g5,"(0,1,2)",3,3,9,3,6,27,162,54,54,162
471,g5,"(0,0,1)",2,1,3,3,0,39,162,54,54,162
489,g5,"(0,0,0)",1,1,3,3,0,57,162,54,54,162
513,g4,"(1,2,0)",3,0,0,0,0,27,162,162,0,162
519,g4,"(1,0,0)",2,0,0,0,0,33,162,162,0,162
531,g4,"(0,2,1)",3,1,3,3,0,27,162,162,18,162
543,g4,"(0,0,1)",2,1,3,3,0,39,162,162,18,162
561,g4,"(0,0,0)",1,1,3,3,0,57,162,162,18,162
567,g4,"(0,1,2)",3,3,9,3,6,27,162,162,54,162
